"cog","subject","sex","r","c","part"
5893.878151205938,"s006",m,5,1,"udhr-l1"
4189.337554741381,"s006",m,5,1,"udhr-l1"
5025.083722153962,"s006",m,5,1,"udhr-l1"
4374.086129535743,"s006",m,5,1,"udhr-l1"
7488.60914930782,"s006",m,5,1,"udhr-l1"
7527.328226947056,"s006",m,5,1,"udhr-l1"
3416.769079712691,"s007",f,1,1,"informal"
5000.463688100739,"s007",f,1,1,"informal"
4172.056007507673,"s007",f,1,1,"informal"
1569.5925235906207,"s007",f,1,1,"informal"
4265.663795582841,"s007",f,1,1,"informal"
4847.654703752946,"s007",f,1,1,"informal"
4633.384482065523,"s007",f,1,1,"informal"
4762.771661134848,"s007",f,1,1,"informal"
2606.1728698463244,"s007",f,1,1,"informal"
3913.427341285785,"s007",f,1,1,"informal"
3248.3117853376393,"s007",f,1,1,"informal"
1359.6359790759843,"s007",f,1,1,"informal"
1133.2014449809183,"s007",f,1,1,"informal"
3938.8388034510454,"s007",f,1,1,"informal"
4659.254716427523,"s007",f,1,1,"informal"
4780.8169461372345,"s007",f,1,1,"informal"
4233.164196498627,"s007",f,1,1,"informal"
3804.9314732884236,"s007",f,1,1,"informal"
758.6484675641207,"s007",f,1,1,"informal"
4312.61198978945,"s007",f,1,1,"informal"
4425.228813724377,"s007",f,1,1,"informal"
4030.614385585485,"s007",f,1,1,"informal"
3807.070160153232,"s007",f,1,1,"informal"
4495.207946201905,"s007",f,1,1,"informal"
3785.714479069049,"s007",f,1,1,"informal"
4060.4688395221997,"s007",f,1,1,"informal"
3600.890176840121,"s007",f,1,1,"informal"
3563.8614643105475,"s007",f,1,1,"informal"
4073.9338323380125,"s007",f,1,1,"informal"
4213.155195924791,"s007",f,1,1,"informal"
3529.2996519249277,"s007",f,1,1,"informal"
3975.806807977441,"s007",f,1,1,"informal"
2804.0945095038524,"s007",f,1,1,"informal"
2353.5430943687156,"s007",f,1,1,"informal"
4569.750758172582,"s007",f,1,1,"informal"
3151.3563404961355,"s007",f,1,1,"informal"
4630.9778080590895,"s007",f,1,1,"informal"
4474.146020167819,"s007",f,1,1,"informal"
899.4011323839861,"s007",f,1,1,"informal"
1988.6424315621477,"s007",f,1,1,"informal"
4384.929474046576,"s007",f,1,1,"informal"
6593.8822043597675,"s007",f,1,1,"informal"
4941.785566196316,"s007",f,1,1,"informal"
4712.900583307928,"s007",f,1,1,"informal"
4089.4308031505757,"s007",f,1,1,"informal"
4350.844389249442,"s007",f,1,1,"informal"
5711.056412569209,"s007",f,1,1,"informal"
4732.024993216242,"s007",f,1,1,"informal"
2070.9177085366427,"s007",f,1,1,"informal"
4599.250719184089,"s007",f,1,1,"informal"
5294.931912237687,"s007",f,1,1,"informal"
4908.43682508301,"s007",f,1,1,"l1"
4835.030941738115,"s007",f,1,1,"l1"
2148.221112149857,"s007",f,1,1,"l1"
4029.483515927939,"s007",f,1,1,"l1"
3784.959329251681,"s007",f,1,1,"l1"
1209.0921786571826,"s007",f,1,1,"l1"
2286.3084811109397,"s007",f,1,1,"l1"
2184.639059651001,"s007",f,1,1,"l1"
2040.9009426894777,"s007",f,1,1,"l1"
1262.177869605151,"s007",f,1,1,"l1"
3552.4926020784133,"s007",f,1,1,"l1"
1616.8681648252398,"s007",f,1,1,"l1"
3476.292845302828,"s007",f,1,1,"l1"
3301.700820967936,"s007",f,1,1,"l1"
2889.738745223715,"s007",f,1,1,"l1"
3100.2060173593973,"s007",f,1,1,"l1"
4066.485550933669,"s007",f,1,1,"l1"
3471.247727372573,"s007",f,1,1,"l1"
4976.595305287586,"s007",f,1,1,"l1"
3625.233932868517,"s007",f,1,1,"l1"
2576.252685027012,"s007",f,1,1,"l1"
2918.804593440796,"s007",f,1,1,"l1"
3509.3237499702946,"s007",f,1,1,"l1"
3041.8090928437864,"s007",f,1,1,"l1"
3393.5730063195947,"s007",f,1,1,"l1"
4131.399895621981,"s007",f,1,1,"l1"
3046.944923716092,"s007",f,1,1,"l1"
3088.47637943081,"s007",f,1,1,"l1"
5513.9188043739,"s007",f,1,1,"l1"
3781.8998979417875,"s007",f,1,1,"l1"
1913.7092061017136,"s007",f,1,1,"l1"
3661.7034142711022,"s007",f,1,1,"l1"
3362.3989611563325,"s007",f,1,1,"l1"
3255.963754546713,"s007",f,1,1,"l1"
2768.8488749684793,"s007",f,1,1,"l1"
2492.9294376172734,"s007",f,1,1,"l1"
1925.561383043934,"s007",f,1,1,"l1"
5149.354285379489,"s007",f,1,1,"l1"
3955.938981904781,"s007",f,1,1,"l1"
3940.6736727430884,"s007",f,1,1,"l1"
1211.2480182231545,"s007",f,1,1,"l1"
3844.006874521227,"s007",f,1,1,"l1"
5289.449200368521,"s007",f,1,1,"l1"
4262.897849256758,"s007",f,1,1,"l1"
2520.4462421935254,"s007",f,1,1,"l1"
4820.578888145829,"s007",f,5,1,"informal"
5277.12077628171,"s007",f,5,1,"informal"
6473.736905854699,"s007",f,5,1,"informal"
2060.075996273095,"s007",f,5,1,"informal"
5655.455132323899,"s007",f,5,1,"informal"
4737.695174282747,"s007",f,5,1,"informal"
6011.623367076768,"s007",f,5,1,"informal"
5892.85071185161,"s007",f,5,1,"informal"
4874.342826748295,"s007",f,5,1,"informal"
6052.514241294518,"s007",f,5,1,"informal"
5986.6914180095355,"s007",f,5,1,"informal"
5689.541829092863,"s007",f,5,1,"informal"
6131.163584695026,"s007",f,5,1,"informal"
5136.635775340021,"s007",f,5,1,"informal"
5328.638885320011,"s007",f,5,1,"informal"
6221.970579456864,"s007",f,5,1,"informal"
4323.864246241867,"s007",f,5,1,"informal"
4277.2326777476765,"s007",f,5,1,"informal"
7348.663997136902,"s007",f,5,1,"informal"
7223.462088521714,"s007",f,5,1,"informal"
4964.236522684777,"s007",f,5,1,"informal"
6239.914884353996,"s007",f,5,1,"informal"
7074.20658241964,"s007",f,5,1,"informal"
4847.829251056316,"s007",f,5,1,"informal"
3318.8584572451787,"s007",f,5,1,"informal"
5002.557891566486,"s007",f,5,1,"informal"
6450.800042603646,"s007",f,5,1,"informal"
6716.805965095613,"s007",f,5,1,"informal"
3193.912765435033,"s007",f,5,1,"informal"
5485.210561177499,"s007",f,5,1,"informal"
6408.841019866674,"s007",f,5,1,"informal"
6363.241703461323,"s007",f,5,1,"informal"
2982.066303643013,"s007",f,5,1,"informal"
5035.932355428001,"s007",f,5,1,"informal"
6882.794011558925,"s007",f,5,1,"informal"
6606.166567455013,"s007",f,5,1,"informal"
4734.925975814682,"s007",f,5,1,"informal"
5718.7473490312495,"s007",f,5,1,"informal"
425.30846404720637,"s007",f,5,1,"informal"
6285.092568084484,"s007",f,5,1,"informal"
4618.433853006971,"s007",f,5,1,"informal"
6260.477135503024,"s007",f,5,1,"informal"
6348.189518468536,"s007",f,5,1,"informal"
6447.286231876583,"s007",f,5,1,"informal"
